PM2.5,PM10,NO2,SO2,CO,O3,no,nh3,aqi_value
2.46,4.09,25.36,5.9,290.39,50.07,1.39,1.96,15
2.3,3.93,26.39,5.9,287.06,50.07,1.38,0.95,23
2.25,3.91,27.42,5.6,287.06,48.64,1.43,0.31,43
3.69,6.08,41.81,6.14,333.79,32.9,2.15,0.24,80
6.18,9.88,60.32,6.74,407.22,12.16,3.14,2.1,76
8.8,13.58,67.17,6.86,460.63,4.51,3.67,5.48,51
10.58,16.01,68.55,7.03,480.65,3.53,3.86,6.43,81
9.69,15.0,63.75,6.74,440.6,8.67,3.67,2.93,100
7.92,12.59,53.47,6.32,393.87,21.64,3.14,0.65,91
5.51,8.95,39.76,6.14,340.46,38.98,2.34,0.08,47
4.05,6.74,32.9,6.2,310.42,45.78,1.81,0.03,3
3.58,5.89,29.82,6.26,293.73,47.92,1.57,0.02,28
3.84,6.12,29.47,6.2,293.73,47.21,1.46,0.02,10
4.71,7.2,32.22,6.5,303.75,42.92,1.43,0.04,41
5.88,8.66,37.01,7.33,320.44,36.84,1.41,0.08,27
7.22,10.29,42.5,8.46,340.46,30.04,1.49,0.16,80
8.99,12.5,47.98,9.3,360.49,23.25,1.65,0.43,85
14.07,18.92,63.06,10.01,440.6,7.6,2.5,4.19,95
18.79,25.16,69.92,11.33,534.06,2.21,3.64,16.76,83
19.95,27.07,63.75,12.16,567.44,13.41,4.43,26.82,70
18.14,24.85,52.09,12.64,527.38,26.46,4.31,26.15,93
13.33,17.72,35.64,12.4,400.54,43.27,2.53,14.98,84
13.66,17.46,30.85,13.23,377.18,46.49,2.03,13.41,94
14.25,17.84,29.13,13.71,373.84,47.21,1.84,12.52,65
14.39,18.13,34.62,14.19,390.53,40.77,2.12,10.95,76
14.93,19.25,45.24,15.02,417.23,30.04,2.69,9.61,57
15.29,20.07,58.26,14.66,433.92,15.74,3.23,5.36,96
15.84,20.92,67.86,14.66,460.63,4.6,3.8,4.92,99
16.25,21.51,71.29,15.02,487.33,1.9,4.18,8.05,73
17.24,22.8,73.34,14.54,507.36,1.03,4.43,10.28,96
19.01,25.09,75.4,14.78,527.38,0.62,4.43,11.85,53
19.08,25.16,77.46,15.14,520.71,0.96,4.05,9.61,82
18.66,24.5,77.46,15.02,507.36,1.81,3.64,6.99,68
17.3,22.66,74.71,14.42,480.65,3.89,3.04,4.08,71
14.99,19.54,67.17,13.59,433.92,8.14,2.5,1.58,52
13.54,17.45,58.95,12.28,400.54,12.34,2.31,0.81,93
12.89,16.41,50.72,10.85,373.84,16.09,2.19,0.5,61
13.08,16.55,46.61,10.13,363.83,17.7,2.12,0.43,51
13.55,17.08,45.24,9.78,360.49,18.06,2.06,0.43,83
13.78,17.27,46.61,9.66,367.17,16.09,1.96,0.62,69
14.77,18.61,52.78,9.54,390.53,9.74,2.01,1.72,72
20.09,25.74,62.38,9.54,507.36,0.93,2.91,14.75,136
27.05,35.21,68.55,10.61,660.9,0.22,4.24,38.89,188
28.98,37.72,68.55,12.88,714.3,3.13,5.0,50.96,197
27.19,35.34,60.32,15.97,660.9,8.4,5.0,48.73,187
21.64,27.99,51.41,17.88,520.71,13.77,3.77,33.08,121
19.7,25.29,52.09,17.88,487.33,12.7,3.42,27.72,100
17.67,22.21,54.84,16.93,467.3,8.32,3.26,23.02,78
14.45,17.57,56.21,15.14,453.95,4.92,2.85,17.43,81
12.78,15.11,56.89,13.83,440.6,3.17,2.34,14.53,72
12.58,14.71,57.58,12.16,440.6,1.41,1.76,11.96,70
12.98,15.07,59.63,11.09,453.95,0.42,1.5,13.08,90
13.93,16.28,61.69,10.49,480.65,0.16,1.65,16.76,89
15.54,18.45,63.06,10.01,514.03,0.08,1.9,19.67,97
21.93,26.52,65.8,9.42,627.52,0.01,2.63,34.42,126
30.72,37.42,68.55,9.06,787.74,0.0,3.23,55.43,183
38.1,46.49,69.92,9.42,907.9,0.0,3.71,74.21,168
66.41,80.5,69.92,7.39,1375.2,0.0,5.38,144.84,247
95.12,112.58,67.17,6.8,1815.8,0.0,5.07,221.73,206
116.04,133.73,63.75,7.27,2136.23,0.0,4.69,278.95,213
126.63,143.4,61.01,7.27,2243.04,0.0,4.31,311.14,238
121.94,136.03,55.52,5.54,2136.23,0.0,2.28,303.98,220
95.35,105.83,52.09,5.78,1735.69,0.0,1.3,239.61,217
33.45,37.64,65.8,10.01,814.44,0.0,0.82,67.95,175
18.48,21.13,61.01,5.07,587.46,0.01,0.76,24.36,65
13.62,16.16,50.72,4.17,514.03,0.16,1.08,15.65,75
7.12,8.61,37.36,3.87,370.5,19.13,0.74,1.03,3
5.22,6.27,26.05,3.01,327.11,31.83,0.57,0.26,7
